experiment	commit	score	bug1	bug2	bug3	bug4	bug5	bug6	bug7	bug8	bug9	bug10	delta	run_time_s	status	description
0	-	8.050	1.000	0.300	0.700	0.550	0.750	0.900	0.950	1.000	1.000	0.900	+0.000	1452	keep	baseline: gemini-3-flash-preview, K=2, no-asm
1	-	9.400	0.800	1.000	1.000	0.900	0.900	1.000	1.000	0.900	1.000	0.900	+1.350	912	keep	enhanced system prompt: worked examples, native_decide pattern, no-sorry guidance, API details
2	-	10.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	+1.950	1028	keep	strict def impl/def spec naming, universal quantification syntax guidance
